Year,Number (thousands),Lowest,Second,Third,Fourth,Top 5 percent
2016,126224,24518,46581,76479,123621.0,230095
2015,125819,23591,45020,74498,121060.0,221900
2014,124587,22213,42688,70699,116355.0,214100
2013,123931,22134,43251,70830,116186.0,216208
2013,122952,22029,42358,69039,111631.0,206587
2012,122459,22033,42533,69079,111344.0,204466
2011,121084,22132,42075,68196,110956.0,203165
2010,119927,22534,42815,69293,112704.0,203355
2009,117538,23425,44151,70781,114530.0,206156
2008,117181,23639,44512,71589,114406.0,205438
2007,116783,24048,46340,73480,118516.0,209773
2006,116011,24418,46038,73126,118260.0,212081
2005,114384,24131,45298,72552,115390.0,208874
2004,113343,24048,45109,71849,114482.0,204439
2003,112000,24027,45426,72752,116058.0,205912
2002,111278,24480,45606,72640,114799.0,204961
2001,109297,24941,46237,73560,115892.0,208882
2000,108209,25580,47106,74475,116716.0,207293
1999,106434,25291,47110,74361,116937.0,209575
1998,103874,24292,45834,72859,113048.0,199264
1997,102528,23527,44609,70275,109232.0,193333
1996,101018,23049,43326,68682,106154.0,186571
1995,99627,23073,43125,67300,104349.0,181061
1994,98990,22031,41351,65800,103116.0,180206
1993,97107,21722,41342,64985,101013.0,175289
1992,96426,21639,41458,65090,99622.0,170058
1991,95669,22162,42243,65248,99902.0,169675
1990,94312,22802,43163,66034,100702.0,172835
1989,93347,23153,44024,67664,102807.0,175619
1988,92830,22739,42952,66938,101074.0,171090
1987,91124,22356,42434,66239,100109.0,167517
1986,89479,21940,41967,65132,98455.0,165096
1985,88458,21658,40749,63126,94941.0,156871
1984,86789,21408,40066,61728,93247.0,154360
1983,85290,21005,39057,59945,90593.0,149047
1982,83918,20559,39101,59742,89087.0,147058
1981,83527,20824,38929,60210,89017.0,143258
1980,82368,21240,39832,61066,89412.0,143892
1979,80776,22108,41059,63170,91592.0,148001
1978,77330,21847,41308,62501,90900.0,145420
1977,76030,21187,39906,60827,88680.0,140409
1976,74142,21232,39557,60258,86695.0,137486
1975,72867,20771,38983,58907,84580.0,133470
1974,71163,21849,40528,59886,86914.0,137567
1973,69859,21744,41812,61865,89073.0,143164
1972,68251,21282,40987,60577,86703.0,139539
1971,66676,20567,39207,57695,82267.0,130642
1970,64778,20835,39913,58054,82827.0,130926
1969,63401,21192,40664,58809,82396.0,129225
1968,62214,20576,39010,55915,78565.0,122913
1967,60813,19305,37644,53429,76190.0,122264
